10476	[3493, 4640, 18708, 2663, 19724, 16119, 8874, 16862, 17059, 19172, 15925, 21117, 18353, 19643, 21135, 11289, 8537, 15437, 15915, 15027, 13694, 14714, 15244, 19620, 20844]	22
11602	[19544, 19701, 12995, 20027, 19589, 20846, 22243, 18016, 16784, 16783, 17273, 20492, 21831, 16374, 12660, 19149, 19132, 16813, 19501, 15968, 22117, 19692, 14714, 19447, 15416]	2
1750	[16409, 14874, 13515, 15699, 17608, 14280, 15673, 10435, 19294, 21591, 14963, 17501, 18942, 15350, 14671, 11906, 16399, 15503, 16054, 11062, 15380, 15845, 12906, 9040, 11536]	25
7972	[19701, 21193, 20236, 20288, 21061, 20484, 20630, 20141, 19333, 17994, 18015, 18016, 22243, 17064, 17129, 17378, 20231, 20235, 21140, 20252, 21911, 16813, 18733, 15907, 17246]	5
190	[6363, 9737, 16400, 14355, 13464, 10309, 6216, 12919, 14434, 16851, 21473, 7081, 14637, 14100, 12167, 7157, 4777, 18660, 13754, 14552, 21083, 9146, 18783, 12542, 4607]	25
7194	[15011, 15679, 15701, 11222, 16496, 13515, 15699, 13544, 10435, 14280, 12871, 14963, 16054, 21591, 11906, 11026, 14621, 12067, 15016, 14127, 14671, 9040, 12906, 12267, 11881]	25
1408	[24965, 24198, 25493, 24985, 24346, 24988, 23068, 22041, 23075, 23112, 21473, 26101, 23007, 21642, 24978, 24210, 21651, 24840, 24325, 24209, 24897, 22953, 22954, 20905, 25267]	25
9832	[16667, 17921, 17573, 15810, 18731, 23339, 22119, 19691, 17249, 15983, 15988, 16348, 19805, 17649, 21742, 16894, 19314, 17919, 19921, 19922, 16860, 15974, 19303, 15982, 15958]	25
10027	[19602, 20652, 20141, 22709, 17284, 17174, 22936, 25807, 17388, 17130, 17129, 17299, 21936, 16318, 17342, 16674, 25378, 20644, 15528, 9604, 8874, 19287, 19337, 3722, 21390]	25
4789	[25493, 15865, 19801, 19369, 19468, 22274, 18840, 22953, 22954, 24897, 20507, 24003, 23068, 24469, 21342, 22630, 20156, 19000, 23075, 24939, 26101, 17279, 22718, 23270, 15860]	25
11383	[10932, 5106, 3683, 2736, 5130, 2833, 2614, 3708, 6908, 2811, 8378, 7477, 10247, 22913, 26114, 20567, 16716, 11103, 22248, 19801, 19699, 19151, 19159, 19157, 15061]	6
7467	[22547, 13462, 24346, 19369, 10435, 13556, 16675, 15486, 16486, 17887, 20800, 17966, 10209, 14662, 16595, 16862, 16959, 13250, 10344, 23669, 16545, 10949, 10560, 15511, 10380]	25
6902	[13827, 16681, 8592, 5931, 14004, 18049, 15530, 17326, 21042, 13754, 15810, 13523, 19282, 17249, 15983, 13551, 15219, 12931, 15632, 12979, 10174, 10703, 18769, 11103, 25436]	3
8635	[19368, 21642, 24971, 24978, 21651, 21658, 23078, 22327, 24147, 19799, 21594, 24166, 21479, 22002, 23030, 19842, 22928, 22841, 24776, 22235, 22240, 22126, 20586, 22129, 20196]	21
9135	[22412, 15327, 15747, 18795, 24939, 22041, 19993, 17981, 22954, 1835, 25253, 22488, 15053, 17022, 25848, 24774, 22359, 10760, 531, 14743, 5804, 10541, 1201, 11846, 13902]	11
11343	[21635, 20484, 22282, 20630, 21414, 24619, 23418, 21193, 21061, 20296, 23546, 21628, 24706, 22318, 19248, 23860, 20288, 20536, 22737, 25175, 23386, 21593, 23924, 25973, 22471]	25
4324	[17153, 17152, 17538, 17154, 17555, 22417, 19858, 17943, 19869, 17699, 20271, 16973, 16206, 18279, 17513, 17516, 17407, 24961, 21651, 19369, 21642, 19137, 21473, 20156, 19801]	25
3202	[22661, 25118, 23457, 24787, 24788, 23791, 23166, 24157, 24158, 23388, 26094, 24801, 23780, 20586, 22126, 22953, 22954, 22719, 22964, 22967, 22968, 22969, 22970, 25538, 24624]	8
427	[8874, 3751, 9287, 9144, 5047, 3766, 8325, 10149, 8980, 6433, 8520, 13574, 2699, 2960, 3082, 5925, 5545, 4521, 20648, 16771, 19613, 14711, 6842, 16190, 10700]	4
4748	[19589, 14795, 13898, 18015, 17273, 16237, 15691, 17064, 12939, 10040, 16410, 10884, 20235, 15891, 11675, 20252, 18975, 17058, 15779, 18733, 16813, 10675, 15913, 15811, 15174]	9
